,listing_id,pos,neu,neg,compound,name,latitude,longitude,review_scores_rating,neighbourhood_cleansed,distance_airport,distance_tophub,distance_prudential,distance_royale,distance_harvard
877,7618925,0.4127794873333334,0.5649179486666666,0.022276923,0.4891682050000001,"Modern Brownstone for Events (film, photoshoots)",42.32964014965104,-71.09274148875555,100.0,Roxbury,4.927584465167186,1.2506290221686556,1.3166342220434541,1.9741228731175253,4.223796473994809
3448,23304442,0.41257812499999996,0.5755625000000001,0.011859375,0.520378385375,The Boston Christopher Studio Suite,42.342291727314844,-71.07915570608279,91.0,South End,3.907444894999172,0.3778681362395648,0.3765084716159337,0.8729741273628913,4.033215433933504
1337,12290886,0.4125535714285714,0.5874464285714284,0.0,0.49641309528571437,South End Suite Vacation Rental M365-1,42.345078825964585,-71.07740009533862,88.0,South End,3.748815752643081,0.3448205355056868,0.2982699752743002,0.6923851662728675,3.9814238556378942
2954,21410674,0.4122376719333333,0.5760277441333331,0.011723472799999999,0.48696428659999996,Lovely 3BR in Brighton by Sonder,42.33956796321971,-71.15819906344478,91.0,Brighton,7.816966122225317,3.837030237645462,3.9102399398667904,4.79704670445355,2.9805071597782637
3224,22240424,0.41200000000000003,0.588,0.0,0.2936,Exclusive 3 Bedroom in The Heart of Boston!,42.330729120692546,-71.11148101081423,40.0,Mission Hill,5.744760787684882,1.7858547998654215,1.8663089114185616,2.6990181792004226,3.7013072206473288
3432,23275623,0.4119019547037037,0.5509266975185185,0.01866517488888889,0.47583391970370364,Posh 2BR in Fenway by Sonder,42.34470427537784,-71.10135319093423,96.0,Fenway,4.913632182965925,0.9048729664575081,0.9789661482716452,1.8678433670802757,3.1229985712741564
2859,21000720,0.41186008229629634,0.5522011317037036,0.012778292185185183,0.4765027777777778,Huge 4 BR on Comm Ave Near Everything Free Parking,42.35044569127889,-71.13663388372187,96.0,Allston,6.586636561598143,2.7160715742993222,2.7800399307927433,3.6392159566967592,2.0659355675909477
4222,27653956,0.4116349489642857,0.5719818027142856,0.009240391178571427,0.5019431164999999,★Quiet & Cozy Apartment ★Downtown Central★Back Bay,42.34294943911085,-71.08309999155283,97.0,Back Bay,4.0746565508903645,0.24914813500343153,0.29097745441611517,1.0190012111508704,3.8516004791287015
4858,31083712,0.4116060605454546,0.5593535353636363,0.029040404,0.5603929293636365,Three Bedrooms & Two Bathrooms - Brand New!,42.33479400775643,-71.04386291425652,84.0,South Boston,2.756498278801325,2.2016155014753163,2.155066950901759,1.5244056998314124,5.794945600336137
4880,31374081,0.4115208335,0.5884791665,0.0,0.52217395825,4 BD ★ 2 BTH Dream w/Outdoor Space & Easy Parking,42.370876412930656,-71.03615310533799,100.0,East Boston,1.4070227947125984,2.96458707776431,2.883875349557478,2.0874921501785493,5.302160509623873
2487,19243707,0.41138186815384614,0.5797426740000001,0.008886446923076923,0.5107571428461539,Very clean house owner living in the house,42.279420253316104,-71.15946176873359,98.0,West Roxbury,9.710935775274404,6.037398496102465,6.114409472944948,6.842416538118448,7.043382430949775
2064,16904896,0.41106999999999994,0.56338,0.02555,0.380781,Beacon Hill Gem,42.36033613150839,-71.06530197052155,96.0,Beacon Hill,2.874298596770135,1.3459555540184762,1.267297353887202,0.7190601146547284,4.014985051032002
2194,17862060,0.41099691221875,0.5629928571249999,0.015847730625,0.49383,Sleek 1BR in Fenway by Sonder,42.34366310078548,-71.09870905068694,94.0,Fenway,4.806583696132536,0.785882223295884,0.8631038444852146,1.751531829995584,3.2636322859317732
3806,24914518,0.410944657725,0.5746397172500001,0.011278125,0.5239131726,"Cozy Apt 2 near BC,BU w/parking and keyless entry",42.34663954089997,-71.1664910910491,92.0,Brighton,8.137650609865377,4.231296779985933,4.299606683772148,5.172773656845205,2.718632893300507
3161,21953265,0.4108888888333333,0.5581277778333332,0.03094166666666667,0.6099097223333333,Classic Wellington Hill Guest House 2,42.284361322812465,-71.09537834236248,97.0,Mattapan,7.123422466055795,4.330468045229302,4.383079236752714,4.775873563333153,6.989806549883085
4235,27720457,0.4108572012352942,0.585818510735294,0.0033242880294117637,0.5308735644117647,★Location rule★ cozy and quiet in downtown central,42.34252437936324,-71.08278073993851,97.0,Back Bay,4.070968585392885,0.28089635422477954,0.31906971251431043,1.019000102104563,3.8834085770648072
1363,12492474,0.41083333333333333,0.5891666666666667,0.0,0.5444222223333334,Stay with Fun Family (queen size bed),42.27398862756944,-71.07083490265401,100.0,Mattapan,7.058376696571454,5.05015662487495,5.084573871114127,5.247870152259785,8.1269995316654
2308,18519592,0.41081533336,0.567294,0.02192200004,0.5292028000399999,Colorful 1BR in North End by Sonder,42.36523663633439,-71.05706572381817,93.0,North End,2.429685698518993,1.8840737372328782,1.8048273419138625,1.1430430809856218,4.319285764068258
4401,28586005,0.4107810356153846,0.5886164002307692,0.0006025640769230769,0.5012010705384614,Modern 3 Bedroom North End Apt by Domio,42.365549733530436,-71.05614287390792,97.0,North End,2.382316341255602,1.9333466304019515,1.8539642017958053,1.181526269517933,4.360021537544564
3963,26127411,0.4106458333636363,0.5874526514545454,0.001907197,0.5627746590909092,190A- LOFT Apartment in Downtown Boston!,42.35552269471846,-71.05202196298755,93.0,Downtown,2.280231385850506,1.7440612064819008,1.6649909102599683,0.7934952382376655,4.768257628928599
4700,29932244,0.4106333333333334,0.5839744445333334,0.0053788889333333334,0.48739377773333337,East Boston Two Bedroom Apt So Beautiful!,42.366545938761064,-71.0355448959538,85.0,East Boston,1.3295924380602773,2.833091305804197,2.752447513691588,1.9175840491033944,5.377978386188784
3002,21524811,0.41057499999999997,0.5847,0.004725,0.5372516665999999,Posh 1BR in Downtown Crossing by Sonder,42.35160689933933,-71.0631985869068,76.0,Downtown,2.908794670289691,1.114186085331546,1.036001239982954,0.1677008183729597,4.355606021303792
