,host_response_time,host_response_rate,host_is_superhost,host_verification_level,neighbourhood_cleansed,host_identity_verified,is_location_exact,instant_bookable,property_type,room_type,bed_type,Wifi,Heating,Essentials,Smoke detector,Kitchen,Carbon monoxide detector,Hangers,Air conditioning,Shampoo,Hair dryer,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy,reviews_per_month
64,1.0,100.0,1,5.0,Dorchester,1,1,1,Condominium,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,68.0,100.0,25.0,29.0,146.0,99.0,10.0,10.0,10.0,10.0,moderate,1.55
67,4.0,33.0,0,6.0,Mission Hill,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,False,True,True,True,True,269.0,0.0,150.0,0.0,2.0,96.0,10.0,10.0,10.0,9.0,super_strict_30,0.03
68,3.0,100.0,0,3.0,South Boston,0,1,0,House,Entire home/apt,Real Bed,True,True,True,True,False,True,True,False,True,True,495.0,500.0,100.0,0.0,8.0,93.0,10.0,10.0,10.0,10.0,strict_14_with_grace_period,0.1
69,1.0,100.0,1,4.0,Roxbury,1,1,1,Condominium,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,225.0,0.0,75.0,10.0,205.0,93.0,10.0,10.0,10.0,9.0,strict_14_with_grace_period,2.25
70,2.0,100.0,1,9.0,Roxbury,0,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,200.0,500.0,80.0,25.0,132.0,92.0,9.0,10.0,10.0,8.0,moderate,1.45
72,1.0,99.0,0,4.0,Back Bay,0,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,False,True,True,True,True,200.0,500.0,105.0,0.0,50.0,92.0,9.0,10.0,10.0,10.0,strict_14_with_grace_period,0.57
73,1.0,100.0,1,5.0,Dorchester,1,1,1,House,Private room,Real Bed,True,True,True,True,True,True,True,False,True,True,59.0,100.0,40.0,25.0,172.0,95.0,10.0,10.0,10.0,9.0,strict_14_with_grace_period,1.9
74,1.0,100.0,0,6.0,Dorchester,1,1,0,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,75.0,100.0,25.0,15.0,92.0,87.0,8.0,9.0,9.0,8.0,moderate,1.02
75,1.0,100.0,0,6.0,Dorchester,1,1,0,House,Private room,Real Bed,True,True,False,True,True,False,True,True,True,True,65.0,100.0,25.0,15.0,43.0,89.0,9.0,9.0,9.0,8.0,moderate,0.48
77,1.0,100.0,1,5.0,Charlestown,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,169.0,0.0,150.0,25.0,105.0,96.0,10.0,10.0,10.0,10.0,flexible,1.15
78,2.0,60.0,0,4.0,Dorchester,1,1,0,Guest suite,Entire home/apt,Real Bed,True,True,True,True,False,True,False,True,True,True,55.0,500.0,100.0,50.0,63.0,89.0,9.0,10.0,9.0,7.0,moderate,0.69
79,2.0,100.0,1,5.0,Fenway,1,1,0,Apartment,Shared room,Couch,True,True,True,True,False,True,True,True,True,True,79.0,0.0,25.0,0.0,74.0,98.0,10.0,10.0,10.0,10.0,moderate,0.81
80,3.0,100.0,1,5.0,Jamaica Plain,1,1,0,Apartment,Private room,Real Bed,True,True,True,True,False,False,False,True,False,True,85.0,0.0,0.0,20.0,38.0,99.0,10.0,10.0,10.0,10.0,moderate,0.42
81,1.0,100.0,1,6.0,Jamaica Plain,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,90.0,200.0,40.0,20.0,354.0,97.0,10.0,10.0,10.0,10.0,moderate,3.97
82,1.0,100.0,1,5.0,Dorchester,1,1,1,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,69.0,100.0,40.0,25.0,177.0,94.0,10.0,10.0,10.0,9.0,strict_14_with_grace_period,1.97
83,1.0,100.0,0,6.0,Dorchester,1,1,1,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,55.0,100.0,25.0,15.0,198.0,89.0,9.0,9.0,10.0,9.0,moderate,2.19
84,2.0,100.0,1,4.0,Jamaica Plain,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,110.0,125.0,50.0,0.0,164.0,97.0,10.0,10.0,10.0,10.0,moderate,1.82
86,1.0,100.0,0,5.0,Brighton,1,1,0,Apartment,Private room,Real Bed,True,True,True,True,True,False,True,True,False,True,99.0,100.0,20.0,15.0,160.0,95.0,10.0,10.0,10.0,9.0,moderate,1.8
87,1.0,100.0,1,7.0,North End,1,1,0,Townhouse,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,95.0,300.0,60.0,50.0,212.0,98.0,10.0,10.0,10.0,10.0,moderate,2.37
88,1.0,100.0,0,5.0,South End,1,1,1,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,105.0,0.0,26.0,0.0,295.0,93.0,9.0,10.0,10.0,10.0,moderate,3.31
89,3.0,100.0,1,8.0,Roslindale,1,1,0,Apartment,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,65.0,0.0,0.0,10.0,53.0,98.0,10.0,10.0,10.0,9.0,strict_14_with_grace_period,0.59
90,3.0,100.0,1,8.0,Roslindale,1,1,0,Apartment,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,55.0,0.0,0.0,0.0,97.0,97.0,10.0,10.0,10.0,9.0,strict_14_with_grace_period,1.08
91,1.0,100.0,1,6.0,South Boston,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,200.0,500.0,100.0,25.0,271.0,97.0,10.0,10.0,10.0,10.0,strict_14_with_grace_period,3.39
92,1.0,96.0,0,6.0,Roxbury,0,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,167.0,500.0,105.0,0.0,84.0,84.0,9.0,9.0,8.0,9.0,strict_14_with_grace_period,1.02
